@@ -1,92 +0,0 @@
name,value
0:15,61
0:16,50
0:17,66
0:18,64
0:19,52
0:20,64
0:21,64
0:22,69
0:23,55
0:24,58
0:25,79
0:26,75
0:27,61
0:28,60
0:29,59
0:30,96
0:31,80
0:32,75
0:33,68
0:34,67
0:35,73
0:36,68
0:37,63
0:38,73
0:39,62
0:40,75
0:41,95
0:42,91
0:43,91
0:44,138
0:45,557
0:46,484
0:47,412
0:48,452
0:49,373
0:50,353
0:51,361
0:52,322
0:53,341
0:54,357
0:55,342
0:56,403
0:57,449
0:58,500
0:59,571
1:0,826
1:1,1004
1:2,1560
1:3,1487
1:4,1462
1:5,1005
1:6,759
1:7,592
1:8,544
1:9,588
1:10,470
1:11,486
1:12,587
1:13,638
1:14,491
1:15,544
1:16,550
1:17,452
1:18,378
1:19,307
1:20,373
1:21,446
1:22,372
1:23,376
1:24,325
1:25,385
1:26,365
1:27,595
1:28,615
1:29,344
1:30,374
1:31,346
1:32,361
1:33,311
1:34,492
1:35,714
1:36,518
1:37,470
1:38,531
1:39,413
1:40,437
1:41,404
1:42,657
1:43,720
1:44,529
1:45,406 
